OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ord200000,2023-01-04,c72649,monitor,5,570.62,928 main st,debit card,shipped,trk37947903,7,save10,instagram,2853.1
ord200001,2024-08-23,c75739,phone,2,151.35,823 main st,online,shipped,trk91186779,3,save10,referral,302.7
ord200002,2024-02-27,c81728,tablet,5,550.68,512 main st,credit card,cancelled,trk42903982,8,freeship,email,2753.4
ord200003,2023-10-15,c33540,chair,1,273.19,275 main st,debit card,returned,trk62788070,5,save10,facebook,273.19
ord200004,2025-05-08,c81840,printer,4,626.01,668 main st,online,delivered,trk29241424,8,save10,email,2504.04
ord200005,2023-10-23,c37249,phone,2,245.86,934 main st,credit card,shipped,trk72976927,4,save10,instagram,491.72
ord200006,2025-06-17,c83492,laptop,1,664.42,986 main st,gift card,returned,trk96417362,6,save10,facebook,664.42
ord200007,2023-05-12,c41460,monitor,5,149.55,706 main st,cash,shipped,trk78809193,9,freeship,facebook,747.75
ord200008,2025-04-02,c26817,phone,2,134.28,904 main st,gift card,cancelled,trk61042692,2,freeship,email,268.56
ord200009,2023-11-21,c31946,desk,4,509.38,102 main st,credit card,shipped,trk33478363,6,save10,google,2037.52
ord200010,2023-12-29,c43443,tablet,5,625.97,333 main st,credit card,returned,trk98859248,9,winter15,instagram,3129.85
ord200011,2024-02-17,c93861,monitor,3,49.14,831 main st,online,returned,trk48234646,7,save10,email,147.42
ord200012,2024-10-15,c38785,monitor,2,180.5,179 main st,debit card,pending,trk20419991,6,freeship,referral,361.0
ord200013,2023-08-30,c88348,laptop,3,201.49,903 main st,credit card,returned,trk81913874,4,freeship,facebook,604.47
ord200014,2023-03-27,c98474,tablet,2,393.33,980 main st,debit card,pending,trk79186539,3,save10,instagram,786.66
ord200015,2023-07-17,c39416,printer,1,473.96,942 main st,cash,delivered,trk54930938,3,freeship,google,473.96
